epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,1366.91,1.82823,1.29521,0.91091,0.71906,0.35,0.35686,0.14969,3.02003,2.66957,0.83388,0.0011288,0.0011288,0.0011288
90,1382.06,1.9494,1.55563,0.92364,0.78302,0.45,0.40131,0.15859,2.8802,2.61375,0.82003,0.0011189,0.0011189,0.0011189
91,1397.19,1.97563,1.59387,0.86726,0.77001,0.45,0.42182,0.16442,2.71543,2.62355,0.79879,0.001109,0.001109,0.001109
92,1412.87,1.86414,1.45388,0.9276,0.8078,0.45,0.42994,0.17356,3.23365,2.69467,0.89468,0.0010991,0.0010991,0.0010991
93,1428.16,1.85302,1.43928,0.92992,0.67258,0.45,0.40024,0.16816,2.85756,2.42071,0.86905,0.0010892,0.0010892,0.0010892
94,1443.56,1.9399,1.47896,0.85783,0.76578,0.4,0.38593,0.15518,2.87504,2.40734,0.88592,0.0010793,0.0010793,0.0010793
95,1458.63,2.16537,1.5737,0.89997,0.64424,0.4,0.3772,0.13798,2.97847,2.36549,0.91284,0.0010694,0.0010694,0.0010694
96,1473.74,1.92898,1.23169,0.94581,0.64615,0.4,0.37585,0.12,3.03365,2.32659,0.95161,0.0010595,0.0010595,0.0010595
97,1488.81,2.0222,1.60288,0.9281,0.48961,0.35,0.35296,0.11299,2.92574,2.29606,0.95736,0.0010496,0.0010496,0.0010496
98,1503.74,1.55599,1.21828,0.92271,0.54128,0.35,0.3314,0.12054,2.93732,2.22788,0.91898,0.0010397,0.0010397,0.0010397
99,1519.06,1.88877,1.47877,1.05636,0.63328,0.3,0.32047,0.12161,2.82916,2.21258,0.8821,0.0010298,0.0010298,0.0010298
100,1534.5,2.27103,1.65131,1.03043,0.63533,0.3,0.31957,0.13598,2.85043,2.23411,0.90434,0.0010199,0.0010199,0.0010199
101,1549.51,2.45692,1.89382,0.98083,0.76818,0.35,0.3621,0.16484,2.80915,2.33782,0.9546,0.00101,0.00101,0.00101
102,1564.54,1.92311,1.3903,0.94904,0.65021,0.4,0.40198,0.18652,2.80596,2.26975,0.95084,0.0010001,0.0010001,0.0010001
103,1579.55,1.94288,1.45056,0.94656,0.65248,0.4,0.39291,0.19028,2.79996,2.1946,0.95577,0.0009902,0.0009902,0.0009902
104,1594.84,1.97347,1.50067,0.91251,0.59674,0.4,0.37106,0.15062,2.80427,2.14715,0.96984,0.0009803,0.0009803,0.0009803
105,1609.9,2.26751,1.75144,0.86779,0.472,0.35,0.33097,0.13389,3.00032,2.0878,0.99241,0.0009704,0.0009704,0.0009704
106,1625.18,1.86177,1.39437,0.9555,0.48699,0.35,0.31055,0.11893,3.05386,2.10456,0.99336,0.0009605,0.0009605,0.0009605
107,1640.23,1.86672,1.28796,0.88512,0.43493,0.35,0.31347,0.13698,3.02323,2.20648,0.98394,0.0009506,0.0009506,0.0009506
108,1655.25,1.73591,1.31475,0.94606,0.54746,0.45,0.40759,0.15678,2.90106,2.26808,0.94714,0.0009407,0.0009407,0.0009407
109,1670.59,1.53203,1.06061,0.90788,0.71035,0.4,0.43901,0.20623,2.7587,2.253,0.90656,0.0009308,0.0009308,0.0009308
110,1685.72,1.87686,1.35516,1.09816,0.7263,0.45,0.48529,0.21713,2.73161,2.27825,0.89445,0.0009209,0.0009209,0.0009209
111,1700.59,1.79648,1.31122,0.95301,0.87636,0.45,0.50165,0.21393,2.73787,2.28727,0.90713,0.000911,0.000911,0.000911
112,1715.83,1.5577,1.12449,0.89513,0.81799,0.45,0.48334,0.21633,2.71068,2.28878,0.92326,0.0009011,0.0009011,0.0009011
113,1730.57,1.70071,1.22719,0.85514,0.79282,0.45,0.47334,0.22054,2.70811,2.29739,0.92859,0.0008912,0.0008912,0.0008912
114,1746.94,1.47822,1.2296,0.93508,0.76958,0.4,0.42485,0.19056,2.68688,2.30653,0.93156,0.0008813,0.0008813,0.0008813
115,1762.47,1.829,1.41881,0.86022,0.76284,0.4,0.40621,0.17958,2.61416,2.26528,0.92648,0.0008714,0.0008714,0.0008714
116,1778.23,1.81624,1.21118,0.85098,0.77676,0.4,0.37345,0.17563,2.54643,2.14018,0.89013,0.0008615,0.0008615,0.0008615
117,1793.6,1.74976,1.27611,0.90823,0.64086,0.4,0.3637,0.17958,2.53878,1.98916,0.83108,0.0008516,0.0008516,0.0008516
118,1812.24,1.83308,1.37489,0.93373,0.63123,0.4,0.3611,0.17039,2.50898,1.90332,0.80834,0.0008417,0.0008417,0.0008417
119,1831.23,1.43137,1.01818,0.90215,0.71354,0.37483,0.36246,0.1849,2.47663,1.84864,0.79976,0.0008318,0.0008318,0.0008318
120,1848.38,1.80022,1.20719,0.87901,0.72681,0.39916,0.36459,0.18923,2.50443,1.84031,0.81432,0.0008219,0.0008219,0.0008219
121,1864.14,1.83466,1.19607,0.92937,0.6665,0.39973,0.362,0.18719,2.53835,1.87131,0.829,0.000812,0.000812,0.000812
122,1879.84,1.85974,1.42922,0.93183,0.49281,0.4,0.34104,0.18891,2.56033,1.90138,0.84833,0.0008021,0.0008021,0.0008021
123,1895.33,1.70538,1.33141,0.861,0.49552,0.39328,0.3406,0.17962,2.6009,1.92588,0.86983,0.0007922,0.0007922,0.0007922
124,1911.3,1.63864,1.14637,0.87832,0.55676,0.35,0.32225,0.16381,2.65929,1.9414,0.88991,0.0007823,0.0007823,0.0007823
125,1926.78,1.70156,1.13193,0.85339,0.63018,0.35,0.32402,0.17478,2.74027,1.89573,0.87855,0.0007724,0.0007724,0.0007724
126,1943.26,1.68209,1.15929,0.90963,0.66513,0.35,0.32655,0.17717,2.69805,1.84373,0.85902,0.0007625,0.0007625,0.0007625
127,1959.59,1.64439,1.17401,0.81691,0.66558,0.35,0.33272,0.17236,2.68732,1.83607,0.85807,0.0007526,0.0007526,0.0007526
128,1974.85,1.63933,1.19429,0.86164,0.73951,0.35,0.35373,0.18523,2.63388,1.78164,0.84845,0.0007427,0.0007427,0.0007427
129,1990.01,1.49878,0.95248,0.91773,0.80149,0.35,0.37186,0.20018,2.56773,1.72635,0.83885,0.0007328,0.0007328,0.0007328
130,2006.31,1.51988,1.16704,0.92187,0.83851,0.35,0.3716,0.1944,2.53196,1.70028,0.83822,0.0007229,0.0007229,0.0007229
131,2022.05,1.76262,1.18524,0.90364,0.82642,0.35,0.35166,0.19379,2.50469,1.706,0.83064,0.000713,0.000713,0.000713
132,2037.68,1.91286,1.46237,0.90163,0.70927,0.35,0.39559,0.20317,2.49587,1.73411,0.82789,0.0007031,0.0007031,0.0007031
133,2053.36,1.57658,1.1279,0.91493,0.76983,0.4,0.4649,0.21645,2.49953,1.77341,0.83257,0.0006932,0.0006932,0.0006932
134,2068.85,1.35299,0.99582,0.80834,0.76771,0.4,0.43957,0.20358,2.52779,1.75535,0.84429,0.0006833,0.0006833,0.0006833
135,2084.66,1.48665,1.18037,0.89652,0.85717,0.45,0.48496,0.20591,2.5977,1.75641,0.86418,0.0006734,0.0006734,0.0006734
136,2099.98,1.68869,1.00796,0.80418,0.8062,0.45,0.45443,0.18677,2.62789,1.73236,0.87165,0.0006635,0.0006635,0.0006635
137,2115.66,1.55979,1.08126,0.88091,0.68657,0.45,0.43084,0.17706,2.64776,1.74143,0.87825,0.0006536,0.0006536,0.0006536
138,2131.3,1.65663,1.07255,0.85826,0.66237,0.45,0.42399,0.18225,2.63665,1.73455,0.87421,0.0006437,0.0006437,0.0006437
139,2147.1,1.41535,0.9626,0.87908,0.64226,0.45,0.42144,0.16564,2.69621,1.73872,0.88379,0.0006338,0.0006338,0.0006338
140,2162.76,1.8371,1.45432,1.04754,0.52491,0.5,0.43235,0.17139,2.76347,1.72824,0.89196,0.0006239,0.0006239,0.0006239
141,2178.52,1.39141,1.17612,0.91974,0.5684,0.45,0.4176,0.16457,2.79578,1.72316,0.88934,0.000614,0.000614,0.000614
142,2194.55,1.64247,1.28784,0.93001,0.88341,0.38026,0.43348,0.18699,2.76833,1.69739,0.88221,0.0006041,0.0006041,0.0006041
